Alimento,Medida usual,g ou ml,CHO (g),Calorias (kcal),Calorias (kJ),Categoria,Subcategoria,Festas
Frango frito,1 sobrecoxa média,65,0,94,393,,,
Frango Teriyaki,1 porção média,183,11,273,1142,,,
Frango Teriyaki,1 xícara,244,15,364,1523,,,
Frango xadrez,1 xícara,162,12,434,1816,,,
Franlitos (Bob's®),1 porção com 6 unidades,120,28,272,1138,,,
Franlitos (Bob's®),1 unidade,20,5,16,67,,,
Franlitos (Bob’s®),1 porção de 6 unidades,120,28,272,1138,,,
Frigideira de repolho com camarão seco,1 colher de sopa,25,1,25,105,,,
Frittata de Abobrinha,1 porção média,135,20,195,816,,,
Frittata de batata,1 porção média,135,31,244,1021,,,
Froot Loops® (Alimento à base de cereais com sabor artificial de frutas),1 pacote individual,20,17,75,314,,,
Froot Loops® (Alimento à base de cereais com sabor artificial de frutas),1 xícara,30,25,111,464,,,
Fruta - pão,1 porção,100,24,96,402,,,
Fruta - pão,1 unidade,100,24,96,402,,,
Fruta-de-conde ou pinha,1 unidade pequena,60,8,41,172,,,
"Fruta-de-conde, ata ou pinha",1 unidade média,60,8,41,172,,,
Frutas cristalizadas industrializadas,1 colher de sopa cheia,15,12,48,201,,,
Frutas cristalizadas industrializadas,1 xícara,150,120,600,2510,,,
Frutilly® (picolé sabor flock),1 unidade,54,17,154,644,,,
Frutilly® (picolé sabor morango),1 unidade,40,9,49,205,,,
Fruttare® (picolé sabor abacaxi),1 unidade,59,16,49,205,,,
Fruttare® (picolé sabor coco),1 unidade,60,14,84,351,,,
Fruttare® (picolé sabor lichia),1 unidade,61,12,48,201,,,
Fruttare® (picolé sabor limão),1 unidade,58,13,52,218,,,
Fruttare® (picolé sabor manga),1 unidade,61,20,80,335,,,
Fruttare® (picolé sabor maracujá),1 unidade,58,15,60,251,,,
Fruttare® (picolé sabor uva),1 unidade,59,20,80,335,,,
Fruttare® Yogo (picolé),1 unidade,71,20,128,536,,,
Fubá,1 colher de sobremesa,7,6,25,105,,,
Fubá,1 colher de sopa cheia,20,16,71,297,,,
Fubá,1 colher sopa rasa,13,10,46,192,,,
Fubá,1 xícara,50,40,179,749,,,
Funghi,1 colher de sopa cheia,20,10,71,297,,,
Funghi (cogumelos),1 colher de sopa cheia,20,10,71,297,,,
Furrundu (doce à base de mamão e rapadura),1 colher de sopa,20,13,52,218,,,
Fusilli Integrale (Spoleto®),1 porção padrão,200,75,328,1372,,,
Fusilli Integrale (Spoleto®),1/2 porção de massa (porção bambini),100,38,164,686,,,
Galeto assado,1 pedaço pequeno,95,0,115,481,,,
Galinha ao molho pardo,1 pedaço médio,95,0,150,628,,,
Galinha ao molho pardo,1 pedaço médio,95,1,150,628,,,
Galinhada com pequi,1 colher de servir,60,13,108,452,,,
Galinhada com pequi,1 porção,350,16,540,2259,,,
Gaspacho,1 copo cheio,200,4,38,159,,,
Gatorade - média sabores ®,1 garrafa,500,12,48,201,,,
Gatorade® - média sabores,1 garrafa,500,24,120,502,,,
"Geladinho (sacolé, dindim), c/ leite integral, leite condensado, leite de coco e coco ralado",1 unidade,100,29,230,962,,,
"Geladinho (sacolé, dindim), c/ polpa congelada, água, amido de milho, c/ açúcar",1 unidade,100,8,30,126,,,
"Geladinho (sacolé, dindim), c/ suco em pó, água, amido de milho, c/ açúcar,",1 unidade,100,9,37,155,,,
Gelatina comum pronta (média),1 potinho,100,13,62,259,,,
Gelatina de frutas em pó,1 colher de sopa cheia,25,22,97,406,,,
Gelatina diet em pó,1 colher de sopa cheia,14,0,1,4,,,
Gelatina diet pronta (média),1 potinho,100,1,9,38,,,
Gelatina em pó com açúcar,1 colher de sopa,25,12,54,226,,,
Gelatina em pó com açúcar,1 colher de sopa cheia,14,12,55,230,,,
Gelatina em pó sem açúcar,1 colher de sopa,12,3,36,151,,,
Gelatina em pó sem sabor,1 colher sopa,14,0,48,201,,,
Gelatina light morango preparada,1 colher de sopa cheia,25,0,3,13,,,
Gelatina light morango preparada Vitat ®,1 porção,132,0,5,21,,,
"Gelatina, em pó, preparada, diet (média de diferentes sabores)",1 colher sopa cheia,25,0,2,8,,,
Geléia de damasco diet,1 colher de sopa rasa,22,6,19,79,,,
Geléia de frutas (média diferentes amostras),1 colher de sopa cheia,34,22,90,377,,,
Geléia de frutas (média),1 colher de sopa cheia,30,18,74,310,,,
Geléia de mocotó,1 colher de sopa,25,9,37,155,,,
Geléia de mocotó,1 colher de sopa cheia,40,12,64,268,,,
Geléia de mocotó dietética,1 colher de sopa cheia,40,2,22,92,,,
Geléia de mocotó zero açúcar,1 colher de sopa rasa,10,0,4,17,,,
Geléia de morango diet,1 colher de sopa rasa,22,6,25,105,,,
Geléia de morango diet Linea ®,1 colher de sopa rasa,25,9,18,75,,,
Geléia Frutas vermelhas diet QueensBerry ®,1 colher de sopa rasa,20,6,26,109,,,
Geléia Hainich,1 colher de sopa,20,9,40,167,,,
Geléia Hainich sem açúcar ®,1 colher de sopa,20,9,37,155,,,
Gema de ovo cozida,1 unidade,20,0,72,301,,,
Gemada 1 colher de sopa,1 colher sopa,15,5,32,134,,,
Gengibre em pó,1 colher de sopa cheia,15,11,51,213,,,
"Gengibre, raiz, in natura",1 colher sopa rasa,15,3,12,50,,,
Gergelim (semente),1 colher sopa rasa,15,"2,67",12,50,,,
Gergelim Vitao®,1 colher sopa,15,2,87,364,,,
Germen de trigo,1 colher de sopa cheia,10,4,37,155,,,
Gérmen de trigo Jasmine ®,1 colher sopa,10,5,37,155,,,
Gim,1 dose,55,22,155,649,,,
Glicofast ® pastilha 1 pastilha,1 pastilha,3,3,12,50,,,
Glicose de milho,1 colher sopa,20,16,64,268,,,
Glinstan ® 1 sachê,1 sachê,15,15,55,230,,,
Glucerna SR ® 1 colher de sopa,1 colher sopa,9,5,38,159,,,
Glucerna SR ® 1 tetra pak,1 tetra,230,25,214,895,,,
Glucose de milho,1 colher de sobremesa,9,6,26,109,,,
Goiaba,1 unidade média,170,20,96,402,,,
Goiaba inteira,1 unidade média,100,14,50,209,,,
"Goiaba, doce em pasta",1 colher sopa cheia,34,25,99,414,,,
"Goiaba, doce em pasta",1 colher sopa rasa,22,17,64,268,,,
Goiabada,1 fatia pequena,55,35,137,573,,,
Goiabada,1 fatia pequena,40,27,109,456,,,
Goiabada diet,1 colher sopa cheia,25,11,41,172,,,
Goiabada Predilecta ®,1 fatia pequena,40,35,140,586,,,
Goma de mascar (diet) média sabores,1 unidade,5,5,18,75,,,
Goma de mascar com açúcar (média sabores),1 unidade média,5,5,19,79,,,
Goma de tapioca,1 colher de sopa cheia,20,11,46,192,,,
Goma de tapioca Yoki ®,1 colher de sopa cheia,17,10,37,155,,,
Gordura vegetal hidrogenada,1 colher de sopa cheia,19,0,71,297,,,
Gordura vegetal hidrogenada,1 colher de sopa cheia,14,0,126,527,,,
Gorgonzola (Backed Potato®),1 concha,60,0,288,1205,,,
"Gorgonzola, queijo",1 fatia pequena,30,1,97,406,,,
"Gouda, queijo",1 fatia média,100,2,356,1490,,,
Goulash com sal,1 xícara de chá,30,1,106,444,,,
Gran picanha 100g (Bob’s®),1 unidade,233,27,526,2201,,,
Gran picanha 200g (Bob’s®),1 unidade,348,27,755,3159,,,
Gran picanha Bob's ®,1 unidade,203,36,502,2100,,,
Granola,1 colher de sopa cheia,11,7,51,213,,,
Granola sem açúcar,1 colher sopa,11,8,42,176,,,
"Granola, cereais, frutas secas e oleaginosas",1 colher sopa,10,6,49,205,,,
"Granola, cereais, frutas secas e oleaginosas",1/2 xícara chá,40,21,174,728,,,
Grão-de-bico cozido,1 colher de sopa cheia,22,4,25,105,,,
"Grão-de-bico cozido, cozido, sem caldo",1 colher sopa cheia,22,5,25,105,,,
"Grão-de-bico cozido, cozido, sem caldo",1 concha cheia,120,25,138,577,,,
Graviola,1 pedaço médio,80,13,51,213,,,
Graviola,1 pedaço pequeno,100,15,60,251,,,
Graviola,1 porção,100,16,62,259,,,
"Graviola, doce de",1 colher sopa cheia,25,13,52,218,,,
"Graviola, polpa congelada",1 saquinho,100,10,38,159,,,
Guacamole com sal,1 colher sopa cheia,45,3,74,310,,,
"Guandú, feijão",1 colher de sopa cheia,22,14,70,293,,,
Guaraná Antarctica ®,1 lata,350,20,80,335,,,
Guaraná diet,1 copo duplo,240,0,0,0,,,
Guaraná diet Antarctica ®,1 lata,350,0,0,0,,,
Guaraná Jesus®,1 lata,350,42,168,703,,,
Guaraná Kuat ®,1 lata,350,21,82,343,,,
Guaraná Kuat®,1 copo duplo,240,25,98,410,,,
Guaraná refrigerante,1 copo duplo,240,24,96,402,,,
Guaraná refrigerante Kuat ®,1 copo,200,13,52,218,,,
"Guaraná, pó",1 colher café rasa,1,1,3,13,,,
Guariroba,1 colher de sopa cheia,15,1,5,21,,,
Guariroba,1 colher de sopa cheia,15,2,10,42,,,
Guariroba refogada,2 colheres de sopa cheias,60,6,22,92,,,
Guariroba refogada,2 colheres de sopa cheias,60,1,22,92,,,
Hamburguer - sanduíche,1 unidade,125,40,301,1259,,,
Hambúrguer - sanduíche Mcdonalds ®,1 unidade,150,41,530,2218,,,
Hamburguer (Mc’ Donalds®),1 unidade,,29,245,1025,,,
Hamburguer de carne bovina,1 unidade média,56,2,139,582,,,
Hamburguer de frango,1 unidade média,56,2,131,548,,,
Hambúrguer de grão de bico,1 unidade,82,20,127,531,,,
Hamburguer de peru,1 unidade média,56,0,82,343,,,
Hambúrguer de peru Sadia ®,1 unidade média,85,5,92,385,,,
Hambúrguer industrializado de carne bovina grelhado,1 unidade,56,10,163,682,,,
Hambúrguer industrializado de frango grelhado,1 unidade,56,10,131,548,,,
Hambúrguer Mcdonald's ®,1 unidade,0,31,248,1038,,,
Hamburguer simples,1 unidade,,29,245,1025,,,
Hambúrguer simples Perdigão ®,1 unidade,55,3,160,669,,,
"Harumaki (rolinho primavera), camarão ou peixe, frito",1 unidade,60,10,181,757,,,
"Harumaki (rolinho primavera), camarão, frito",1 unidade,60,10,180,753,,,
Harumaki de carne,1 unidade,50,8,103,431,,,
Harumaki de carne Jin Jin Wok ®,1 unidade,20,11,47,197,,,
"Harumaki de peixe, frito",1 unidade,60,10,190,795,,,
Harumaki filadélfia,1 unidade,50,8,158,661,,,
Harumaki filadélfia Jin Jin Wok ®,1 unidade,20,8,56,234,,,
Herbalife de baunilha,1 colher de sopa cheia,15,7,51,213,,,
Herbalife de baunilha ®,1 colher sopa cheia,15,10,42,176,,,
Hipoglosso (peixe) cozido,1 filé médio,100,0,125,523,,,
Homus,1 colher de sopa cheia,30,14,94,393,,,
Homus (Habib s),1 porção,240,34,360,1506,,,
Homus (Habib’s®),1 porção,240,34,360,1506,,,
Homus (Habibs),1 porção,240,34,360,1506,,,
Homus com pão sírio Habibs ®,1 porção,334,83,642,2686,,,
Homus de grão de bico Homus,1 colher de sopa cheia,45,9,123,515,,,
"Hortelã, folhas de",1 colher sopa cheia,10,0,4,17,,,
Hossomaki de atum,1 unidade,15,5,38,159,,,
Hossomaki de atum,1 unidade,110,26,164,686,,,
Hossomaki de pepino,1 unidade,15,5,24,100,,,
Hossomaki de pepino,1 unidade,110,26,123,515,,,
Hossomaki de salmão,1 unidade,15,9,49,205,,,
Hossomaki de salmão,1 unidade,110,26,155,649,,,
"Hot dog (sanduíche) com mostarda, catchup e maionese",1 unidade,190,28,430,1799,,,
Hot Filadélfia (hot roll),1 unidade,30,8,82,343,,,
Inhame cozido,1 fatia média,100,28,116,485,,,
"Inhame sem casca, assado",1 colher sopa cheia,35,8,32,134,,,
"Inhame sem casca, cozido, drenado",1 colher sopa cheia,35,7,45,188,,,
"Inhame, raiz sem casca de (picado)",1 colher de sopa cheia,35,8,31,130,,,
Iogurte abacaxi Tirol®,1 unidade,200,27,175,732,,,
Iogurte Activia ameixa Danone ®,1 copo,200,26,142,594,,,
Iogurte Activia aveia Danone®,1 copo,200,25,158,661,,,
"Iogurte Activia café da manhã com Quinoa, morango e amora Danone®",1 unidade,170,27,177,741,,,
Iogurte Activia Chia Danone®,1 unidade,220,28,156,653,,,
Iogurte Activia morango Danone®,1 copo,200,25,138,577,,,
Iogurte Activia morango Danone®,1 unidade,170,22,122,510,,,
Iogurte Activia natural Danone®,1 unidade,170,22,122,510,,,
Iogurte Activia original Danone®,1 unidade,140,9,107,448,,,
Iogurte Activia zero ameixa Danone®,1 unidade,170,10,59,247,,,
Iogurte Activia® light,1 pote,100,11,62,259,,,
Iogurte Activia® natural,1 pote,170,12,132,552,,,
Iogurte Activia® original,1 pote,100,16,110,460,,,
Iogurte camadas frutas vermelhas Frimesa®,1 unidade,165,23,143,598,,,
Iogurte camadas morango Frimesa®,1 unidade,165,23,143,598,,,
Iogurte côco Danone ®,1 copo,200,22,128,536,,,
"Iogurte com preparado de fruta- laranja, cenoura e mel Danone®",1 unidade,180,20,148,619,,,
Iogurte Corpus de morango light ®,1 unidade,170,10,59,247,,,
Iogurte Corpus® de morango light,1 garrafinha,170,8,69,289,,,
"Iogurte cremoso - laranja, cenoura e mel Batavo®",1 unidade,170,13,93,389,,,
Iogurte cremoso ameixa Batavo®,1 unidade,170,14,97,406,,,
Iogurte cremoso natural integral Batavo®,1 unidade,160,9,119,498,,,
Iogurte Dan up®,1 unidade,155,27,162,678,,,
Iogurte Dan up®,1 garrafinha,180,28,157,657,,,
Iogurte de frutas (média),1 pote,100,17,90,377,,,
Iogurte de frutas light (média),1 pote,100,7,42,176,,,
Iogurte de frutas light Corpus ®,1 garrafinha,170,8,51,213,,,
Iogurte Densia aveia Danone®,1 unidade,180,7,47,197,,,
Iogurte Densia líquido Danone®,1 unidade,180,12,71,297,,,
Iogurte desnatado açaí e banana Protein + zero Frimesa®,1 unidade,170,15,128,536,,,
"Iogurte desnatado com preparado aveia, ameixa e amaranto Nesfit Nestlé®",1 unidade,170,14,75,314,,,
Iogurte desnatado com preparado de morango zero Tirol®,1/2 copo,100,7,40,167,,,
"Iogurte desnatado com preparado frutas vermelhas, aveia, e hibisco Nesfit Nestlé®",1 unidade,150,12,75,314,,,
Iogurte desnatado Molico triplo zero baunilha Nestlé®,1 unidade,170,7,45,188,,,
Iogurte desnatado Molico triplo zero morango Nestlé®,1 unidade,170,7,41,172,,,
Iogurte desnatado morango Protein + zero Frimesa®,1 unidade,170,15,128,536,,,
Iogurte desnatado VIV banana Vigor®,1/2 copo,100,7,72,301,,,
Iogurte desnatado VIV flocos Vigor®,1/2 copo,100,5,70,293,,,
Iogurte desnatado VIV morango Vigor®,1/2 copo,100,5,62,259,,,
Iogurte desnatado Whey banana Campo Verde®,1/2 copo,100,5,70,293,,,
Iogurte desnatado Whey cookies e cream Campo Verde®,1/2 copo,100,6,46,192,,,
Iogurte desnatado Whey doce de leite Campo Verde®,1/2 copo,100,8,69,289,,,
Iogurte doce de leite YoPRO Danone®,1/2 copo,100,6,47,197,,,
Iogurte Duo côco e abacaxi Batavo®,1 copo,200,32,216,904,,,
Iogurte Grego frutas amarelas Vigor®,1 unidade,90,17,139,582,,,
Iogurte Grego loucos por flocos Vigor®,1 unidade,90,17,139,582,,,
Iogurte Grego mel Batavo®,1/2 copo,100,15,130,544,,,
Iogurte Grego morango Batavo®,1/2 copo,100,10,121,506,,,
Iogurte Grego Nestlé light®,1 unidade,90,10,73,305,,,
Iogurte Grego Nestlé tradicional®,1 unidade,90,10,74,310,,,
Iogurte Grego Nestlé® light,1 pote,90,10,78,326,,,
Iogurte Grego Nestlé® tradicional,1 pote,100,15,113,473,,,
Iogurte grego pêssego Batavo®,1/2 copo,100,16,139,582,,,
Iogurte Grego torta de limão Batavo®,1 unidade,90,15,133,556,,,
Iogurte Grego torta de maracujá Batavo®,1 unidade,90,16,139,582,,,
Iogurte Grego Vigor zero®,1 unidade,90,5,49,205,,,
Iogurte Grego Vigor®,1 unidade,90,16,139,582,,,
Iogurte Grego Vigor®,1 pote,100,16,151,632,,,
Iogurte Grego Vigor® zero,1 pote,100,5,49,205,,,
Iogurte Grego zero maracujá Vigor®,1 unidade,90,5,48,201,,,
Iogurte Grego zero morango Vigor®,1 unidade,90,7,63,264,,,
Iogurte integral Batavo®,1 unidade,170,8,102,427,,,
"Iogurte integral com preparado de grãos - chia, quinoa e amaranto - morango VIV Vigor®",1 unidade,100,17,132,552,,,
Iogurte Líquido Zero Lactose Corpus Morango Danone®,1 unidade,170,13,83,347,,,
Iogurte Molico total cálcio líquido Nestlé®,1 unidade,170,8,73,305,,,
Iogurte Molico total cálcio polpa (média)®,1 unidade,100,6,42,176,,,
Iogurte Molico® total cálcio líquido (média),1 garrafinha,170,8,73,305,,,
Iogurte Molico® total cálcio polpa (média),1 pote,100,6,42,176,,,
Iogurte morango Tirol®,1 unidade,200,27,175,732,,,
Iogurte morango YoPRO Danone®,1/2 copo,100,5,51,213,,,
Iogurte natural c/ mel,1 copo,200,36,225,941,,,
Iogurte natural c/ mel Nestlé®,1 unidade,170,23,158,661,,,
Iogurte natural desnatado (Fiore®),1 copo,140,6,45,188,,,
Iogurte natural desnatado (média),1 copo,170,11,82,343,,,
Iogurte natural desnatado (média),1 copo,185,12,85,356,,,
Iogurte natural desnatado Fiore®,1 unidade,140,6,85,356,,,
Iogurte natural desnatado Nestlé®,1 unidade,160,8,57,238,,,
Iogurte natural integral (média),1 copo,170,10,126,527,,,
Iogurte natural integral (média),1 copo,200,12,142,594,,,
Iogurte natural integral + cereais Batavo®,1 unidade,150,17,138,577,,,
Iogurte natural integral Danone®,1 unidade,180,10,121,506,,,
Iogurte natural integral Nestlé®,1 unidade,170,7,117,490,,,
"Iogurte parcialmente desnatado cenoura, laranja e mel Nestlé®",1 unidade,170,24,179,749,,,
Iogurte parcialmente desnatado com calda frutas vermelhas Batavo®,1 unidade,100,16,97,406,,,
Iogurte parcialmente desnatado com preparado de mel Nestlé®,1 unidade,170,23,159,665,,,
Iogurte parcialmente desnatado frutas vermelhas Frimesa®,1 unidade,165,23,124,519,,,
Iogurte parcialmente desnatado Morango com calda Nestlé ®,1 unidade,150,20,127,531,,,
Iogurte pedaços abacaxi Batavo®,1 copo,200,28,192,803,,,
Iogurte pedaços morango Batavo®,1 copo,200,31,192,803,,,
Iogurte pedaços pêssego Batavo®,1 copo,200,28,192,803,,,
Iogurte Pense zero Grego morango Batavo®,1 unidade,100,6,60,251,,,
Iogurte Pense zero morango Batavo®,1 unidade,170,10,68,285,,,
Iogurte Pense zero morango Batavo®,1/2 copo,100,6,43,180,,,
Iogurte pêssego Tirol®,1 unidade,200,27,175,732,,,
Iogurte petit suisse (média),1 unidade,45,9,71,297,,,
Iogurte petit suisse Danoninho morango ®,1 unidade,40,5,41,172,,,
"Iogurte VIV 3 grãos - chia, quinoa e amaranto - framboesa e limão - Vigor®",1 unidade,170,28,153,640,,,
"Iogurte VIV 3 grãos - chia, quinoa e amaranto - manga e morango - Vigor®",1 copo,200,33,185,774,,,
"Iogurte VIV 3 grãos - chia, quinoa e amaranto - manga e morango - Vigor®",1 unidade,170,28,157,657,,,
"Iogurte VIV 3 grãos - chia, quinoa e amaranto - tradicional - Vigor®",1 copo,200,34,186,778,,,
"Iogurte VIV 3 grãos - chia, quinoa e amaranto - tradicional - Vigor®",1 unidade,100,17,132,552,,,
Iogurte VIV mel Vigor®,1 unidade,150,20,139,582,,,
Iogurte VIV natural Vigor®,1 unidade,150,9,80,335,,,
Iogurte zero desnatado ameixa Frimesa,1 copo,200,10,65,272,,,
Iogurte zero desnatado morango Frimesa,1 unidade,165,10,68,285,,,
Iogurte zero Itambé Fit ®,1 copinho,100,5,34,142,,,
Iogurte zero lactose frutas vermelhas Frimesa®,1 unidade,170,21,127,531,,,
Iogurte Zero Lactose Nestlé®,1 unidade,90,5,58,243,,,
Isca de carne de porco,1 colher de sopa cheia,30,0,67,280,,,
Isca de carne de porco,1 porção média,110,4,267,1117,,,
Isca frita de pirarucu,1 fatia média,100,0,269,1125,,,
Isca frita de pirarucu,1 escumadeira cheia,100,16,258,1079,,,
Jabuticaba,1 unidade,5,1,3,13,,,
Jaca,1 bago médio,12,3,11,46,,,
Jaca,1 bago médio,12,1,3,13,,,
Jacaré,1 pedaço médio,40,0,50,209,,,
Jambo,1 unidade média,40,5,22,92,,,
Jambo cru,1 unidade média,40,3,11,46,,,
Jambu cozido,1 colher de sopa cheia,20,1,6,25,,,
Jambu cozido,1 colher de sopa cheia,15,2,8,33,,,
Jamelão ou jambolão,1 unidade média,10,1,4,17,,,
Jaraqui cru,1 pedaço médio,100,0,129,540,,,
Jenipapo,1 unidade pequena,60,15,68,285,,,
Jenipapo,1 pedaço médio,100,26,113,473,,,
Jiló,1 colher de sopa cheia,60,4,16,67,,,
Jiló,1 colher de sopa cheia,60,5,31,130,,,
Joelho de porco (Einsbein),1 porção,100,0,227,950,,,
Joelho de porco (Einsbein®),1 porção,100,0,215,900,,,
Jurubeba,1 unidade média,10,2,10,42,,,
Kafta na bandeja,1 porção,100,2,173,724,,,
Kafta na bandeja (Habib s),1 porção,100,2,173,724,,,
Kafta na bandeja (Habib’s®),1 porção,250,14,300,1255,,,
Kani kama cru,1 unidade,20,3,21,88,,,
Kani kama cru,1 unidade,16,0,13,54,,,
Kanimaki,1 unidade,15,4,21,88,,,
Kapamaki de pepino,1 unidade,15,6,25,105,,,
Kappamaki de pepino,1 unidade,15,4,18,75,,,
Karo,1 colher de sopa cheia,15,12,49,205,,,
Karo®,1 colher de sopa cheia,20,16,64,268,,,
Kasespatzle (macarrão com queijo),1 pegador,130,20,198,828,,,
Kasespatzle® (macarrão com queijo),1 pegador,130,20,198,828,,,
Kaze Spatzle (macarrão com queijo),1 pegador,130,28,290,1213,,,
Kefir com leite de vaca,1 copo americano duplo,240,6,113,473,,,
Ketchup de tomate,1 colher de sopa cheia,20,6,25,105,,,
Ketchup de tomate,1 colher de sopa cheia,20,5,23,96,,,
Kinder Bueno®,1 unidade,43,21,245,1025,,,
Kinder ovo®,1 unidade,20,10,110,460,,,
Kinder ovo® maxi (Ovo de Páscoa),1 porção,25,13,143,598,,,
Kinkan,1 unidade,10,2,7,29,,,
"Kitkat®, chocolate",1 unidade,"41,5",24,220,920,,,
Kiwi,1 unidade média,94,11,48,201,,,
Kiwi,1 unidade média,76,11,51,213,,,
Lagarto bovino,1 pedaço médio,35,0,77,322,,,
Lagosta,1 porção,100,0,83,347,,,
Lagosta à Thermidor,1 porção,100,13,460,1925,,,
Lagosta à Thermidor®,1 porção,100,13,460,1925,,,
"Laka®, chocolate",4 quadradinhos,25,15,135,565,,,
Laranja baía,1 unidade média,180,20,82,343,,,
"Laranja diet, geleia de (média)",1 colher de sopa (cheia),20,7,27,113,,,
Laranja lima,1 unidade média,180,20,82,343,,,
Laranja lima,1 unidade média,90,10,41,172,,,
"Laranja, geleia de (média)",1 colher de sopa (cheia),20,12,49,205,,,
Lasanha (média sabores),1 escumadeira,170,23,224,937,,,
Lasanha à bolonhesa,1 escumadeira,170,28,312,1305,,,
Lasanha à bolonhesa,1 escumadeira,170,27,355,1485,,,
Lasanha de bacalhau e espinafre,1 porção,200,42,503,2105,,,
Lasanha de berinjela a bolonhesa,1 colher de sopa cheia,80,4,79,331,,,
Legumes refogados,1 colher de servir cheia,60,3,56,234,,,
"Legumes, seleta",1 colher de sopa,25,3,14,59,,,
Leite achocolatado,1 copo médio,240,34,194,812,,,
Leite condensado,1 colher de sopa,15,9,47,197,,,
Leite condensado,1 colher de sopa,15,8,49,205,,,
Leite condensado desnatado,1 colher de sopa,15,11,40,167,,,
Leite condensado desnatado,1 colher de sopa,15,9,42,176,,,
Leite de amêndoa,1 copo,200,4,66,276,,,
Leite de arroz,1 copo,200,12,63,264,,,
Leite de aveia,1 copo,200,15,87,364,,,
Leite de cabra,1 copo duplo cheio,240,9,161,674,,,
Leite de cabra integral,1 copo duplo cheio,240,13,223,933,,,
Leite de castanha,1 copo,200,3,65,272,,,
Leite de coco industrializado,1 colher de sopa,20,0,26,109,,,
Leite de coco industrializado,1 garrafa pequena,200,11,516,2159,,,
Leite de coco industrializado light,1 colher de sopa,20,0,17,71,,,
Leite de coco industrializado light,1 garrafa pequena,200,6,250,1046,,,
Leite de soja,1 copo,200,8,67,280,,,
Leite de soja Ades®,1 copo,200,8,82,343,,,
Leite de soja zero,1 copo,200,3,56,234,,,
Leite de soja zero Ades®,1 copo,200,3,59,247,,,
Leite de vaca desnatado,1 copo duplo cheio,240,11,78,326,,,
Leite de vaca desnatado,1 copo duplo cheio,240,12,84,351,,,
Leite de vaca desnatado em pó,1 colher de sopa cheia,10,5,36,151,,,
Leite de vaca integral em pó,1 colher de sopa cheia,16,6,80,335,,,
Leite de vaca integral pasteurizado,1 copo duplo cheio,240,11,154,644,,,
Leite de vaca integral pasteurizado,1 copo duplo cheio,240,12,141,590,,,
Leite de vaca semi-desnatado,1 copo médio,240,11,97,406,,,
Leite de vaca semidesnatado sem lactose,1 copo médio,240,11,98,410,,,
Leite fermentado,1 unidade,80,13,56,234,,,
Leite humano maduro média,1 copo americano pequeno,165,10,112,469,,,
Leite materno,1/2 copo,100,7,67,280,,,
Lentilha cozida,1 colher de sopa cheia,18,3,19,79,,,
Lentilha cozida,1 colher sopa (cheia),18,3,17,71,,,
Lichia,1 unidade,10,2,6,25,,,
Licor,1 cálice,20,7,62,259,,,
Licor,1 cálice,20,6,62,259,,,
Licor 43,1 dose,50,11,150,628,,,
Licor Amarula,1 dose,50,18,180,753,,,
Licor Frangelico,1 dose,50,18,172,720,,,
Licor Limoncello,1 dose,50,22,171,715,,,
Limão,1 colher de sopa cheia,12,1,4,17,,,
"Limão, geléia de",1 colher de sopa cheia,20,5,22,92,,,
"Limão, geléia de",1 colher de sopa cheia,15,1,7,29,,,
Limonada s/ açúcar,1 copo,200,3,10,42,,,
Limonada sem/ açúcar,1 copo,240,2,7,29,,,
Língua de boi cozida,1 fatia média,30,0,94,393,,,
Língua de gato Kompenhagen®,1 unidade,6,3,36,151,,,
Língua de gato Kopenhagen Soul Good®,1 unidade,6,3,35,146,,,
Língua de gato Kopenhagen®,1 unidade,6,3,36,151,,,
Linguado assado,1 fatia média,100,0,133,556,,,
Linguado assado,1 posta média,120,0,140,586,,,
Linguiça calabresa,1 unidade,40,0,146,611,,,
Linguiça calabresa (média),1 unidade,50,0,150,628,,,
Linguiça calabresa defumada,1 unidade,50,1,140,586,,,
Linguiça calabresa defumada,1 unidade,40,0,146,611,,,
Linguiça de frango,1 gomo,60,0,122,510,,,
Linguiça de peru,1 gomo,50,2,80,335,,,
Linguiça de peru,1 gomo,60,0,83,347,,,
Linguiça paio,1 unidade,50,0,144,602,,,
Linguiça paio,1 unidade,160,0,363,1519,,,
Linguiça toscana,1/2 unidade,50,1,90,377,,,
Linguiça toscana (Aurora®),1/2 unidade,50,"1,4",100,418,,,
Linhaça (semente),1 colher de sopa,13,6,65,272,,,
Lombo (ao Vinho),1 fatia média,80,6,440,1841,,,
Lombo de boi assado,1 pedaço médio,50,0,100,418,,,
Lombo de porco assado,1 pedaço grande,100,0,210,879,,,
Lombo de porco assado,1 pedaço grande,120,0,252,1054,,,
Lombo de vitela assado/ cozido,1 pedaço médio,100,0,226,946,,,
Lombo de vitela assado/ cozido,1 pedaço médio,50,0,113,473,,,
Lula cozida,1 unidade média,110,0,106,444,,,
Lula cozida,1 unidade média,80,0,74,310,,,
M&M's® crispy,1 colher de sopa,12,8,55,230,,,
M&M•s® amendoim,1 colher de sopa,"12,5",7,61,255,,,
M&M•s® chocolate,1 colher de sopa,"12,5",45054,58,243,,,
M&M•s® chocolate,1 colher de sopa,"12,5","8,5",58,243,,,
M&M´s® amendoim,1 colher de sopa,12,8,64,268,,,
M&M´s® chocolate,1 colher de sopa,12,9,61,255,,,
M&M®,1 colher de sopa,12,9,61,255,,,
